Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Barry Bonds,45.0,1503.0,127.5,983.3333333333335,90.0,83,19.0,97.5,167.0,101.0,114.5,90.5,Team OConnell,,75.5,42.0,868.5
Barry Bonds,120.0,1381.0,111.0,1122.3333333333333,133.0,15,77.0,32.5,93.0,76.0,19.5,123.0,Killing  Me Smalls,,108.0,145.0,962.0
Barry Bonds,58.0,1443.0,108.0,969.0,91.5,153,100.0,135.0,108.0,91.0,134.0,52.0,Team VladtheImpaler,,61.0,41.0,888.5
Barry Bonds,16.0,1377.0,47.5,1017.6666666666665,39.0,45,123.0,57.0,62.5,142.0,33.5,158.0,Strike 3,,101.5,8.0,646.0
Barry Bonds,9.0,1514.0,153.5,1153.0,158.0,83,124.0,165.5,158.0,47.5,177.0,36.0,204 Iron Birds,,120.0,23.0,1124.0
Barry Bonds,57.0,1467.0,150.0,1031.3333333333333,102.5,48,14.0,99.5,89.0,105.0,54.0,100.5,Doctor Detroit II,,114.0,80.0,860.5
Barry Bonds,145.0,1474.0,138.0,1070.3333333333333,94.0,124,140.0,157.5,125.0,12.0,172.0,112.5,90 Day Fiancés,,92.0,148.0,1324.0
Barry Bonds,33.0,1397.0,11.0,1091.0,97.0,76,2.0,15.5,6.0,176.0,45.0,42.0,Just Wandering,,61.0,28.0,340.5
Barry Bonds,62.0,1549.0,146.5,1046.3333333333333,155.5,42,135.0,177.0,177.0,18.0,151.5,116.0,Slytherin Purebloods,,82.5,88.0,1291.0
Barry Bonds,94.0,1235.0,14.5,986.6666666666665,78.0,18,20.0,6.0,2.0,175.0,4.0,44.5,Woody's Warriors,,29.0,53.0,345.0
Barry Bonds,177.0,1420.0,72.0,996.6666666666665,43.5,74,75.0,132.0,89.0,37.0,148.5,138.5,Dire Wolves,,173.0,170.0,1218.5
Babe Ruth,166.0,1463.0,140.0,1192.0,141.0,64,31.0,73.5,154.0,58.0,45.0,77.5, Medias Rojas  De Boston,,75.5,152.0,1055.5
Babe Ruth,176.0,1477.0,47.5,1065.0,159.0,31,102.0,130.0,127.5,27.0,144.0,54.5,Moscow Doom,,148.0,175.0,1263.5
Babe Ruth,15.0,1438.0,32.0,1025.3333333333333,117.0,36,155.0,143.0,50.5,140.0,67.5,8.0,Florida NEWBIES,,52.0,11.0,651.0
Babe Ruth,143.0,1430.0,25.0,1027.6666666666667,127.5,36,9.0,20.5,60.0,99.0,85.5,90.5,Seto Kaiba,,155.5,156.0,872.5
Babe Ruth,138.0,1468.0,84.5,1004.6666666666665,67.0,49,55.0,67.5,153.0,78.0,134.0,6.5,Brew  Crew ,,127.5,113.0,946.0
Babe Ruth,108.0,1438.0,84.5,1057.6666666666667,119.0,59,133.0,107.5,76.0,74.5,85.5,100.5,London Plastics,,24.5,130.0,968.5
Babe Ruth,40.0,1463.0,175.5,942.0,45.0,109,81.0,162.0,170.0,41.0,136.5,172.0,Player Haters,,163.0,20.0,1165.0
Babe Ruth,5.0,1430.0,45.0,1049.6666666666667,107.5,114,10.0,20.5,27.0,159.0,106.0,116.0,Steal Your Base,,92.0,2.0,531.0
Babe Ruth,63.0,1289.0,130.0,762.6666666666665,7.0,17,167.0,26.0,32.0,158.0,39.5,36.0,IL 10,,7.0,29.0,536.5
Babe Ruth,105.0,1231.0,16.5,866.3333333333335,24.0,17,13.0,3.0,3.0,169.0,26.5,118.5,Woody's Wonders,,16.0,111.0,436.5
Babe Ruth,76.0,1384.0,98.0,985.0,36.0,32,94.0,121.0,132.5,97.0,54.0,142.5,Rockford Peaches,,108.0,12.0,874.0
Babe Ruth,152.0,1478.0,159.5,933.3333333333335,80.0,22,86.0,159.0,114.5,8.0,170.5,177.0,Good Times Bad Times,,92.0,169.0,1359.5
Lou Gehrig,38.0,1483.0,100.5,1201.0,165.0,45,48.0,76.5,71.5,107.0,33.5,58.0,Team Ottley,,176.5,91.0,858.5
Lou Gehrig,65.0,1387.0,45.0,916.6666666666665,31.5,51,44.0,50.5,65.5,162.0,120.5,4.5,Kpax and the Ninja Banditos,,24.5,63.0,514.0
Lou Gehrig,127.0,1422.0,52.0,1078.3333333333333,70.0,82,18.0,42.5,52.5,121.0,110.0,112.5,Autodrafters Anonymous,,82.5,105.0,772.0
Lou Gehrig,128.0,1491.0,58.5,998.0,121.0,111,107.0,145.0,74.0,44.0,168.5,134.5,Yogurt Bazooka,,120.0,93.0,1149.5
Lou Gehrig,102.0,1470.0,153.5,1014.0,110.0,115,141.0,103.0,102.5,53.0,67.5,100.5,Sweat Caroline,,108.0,101.0,1089.0
Lou Gehrig,134.0,1448.0,42.5,1056.3333333333333,72.0,66,8.0,38.0,98.0,95.0,99.5,156.0,Dick Butt,,75.5,153.0,876.5
Lou Gehrig,109.0,1460.0,175.5,1092.3333333333333,126.0,50,108.0,180.0,168.0,32.0,162.0,95.0,Rickey Mantle,,75.5,39.0,1238.0
Lou Gehrig,34.0,1403.0,122.5,1454.0,178.0,36,164.0,136.5,60.0,66.0,58.0,32.5,Vermont Lake Monsters,,180.0,57.0,1022.5
Lou Gehrig,30.0,1492.0,150.0,1142.3333333333333,163.0,32,54.0,117.0,151.5,56.0,120.5,61.5,Team Dodson,,127.5,106.0,1081.0
Lou Gehrig,164.0,1467.0,150.0,906.6666666666665,81.5,68,148.0,156.0,166.0,11.0,95.5,161.5,Team persio,,69.0,134.0,1325.5
Lou Gehrig,2.0,1362.0,7.0,865.3333333333335,21.0,56,179.0,60.0,33.0,160.0,9.0,173.5,Never Mind the  Pollocks,,29.0,17.0,530.5
Lou Gehrig,147.0,1369.0,88.5,769.6666666666665,10.0,5,11.0,34.0,69.5,154.0,67.5,17.0,Rural Jurors,,24.5,112.0,581.0
